country,year_at_age,crisis_name,crisis_type_m
Iceland,1950,Other Factors,3
Iceland,1951,Other Factors,3
Iceland,1952,Other Factors,3
Iceland,2010,Other Factors,3
Iceland,2010,Other Factors,3
India,1917,,.
India,1918,,.
India,1944,Wartime,1
India,1945,Wartime,1
India,1946,Wartime,1
India,1947,Wartime,1
India,1948,Wartime,1
Indonesia,1931,Other Factors,3
Indonesia,1932,Other Factors,3
Indonesia,1933,Other Factors,3
Indonesia,1941,Wartime,1
Indonesia,1942,Wartime,1
Indonesia,1943,Wartime,1
Indonesia,1944,Wartime,1
Indonesia,1945,Wartime,1
Indonesia,1962,Other Factors,3
Indonesia,1963,Other Factors,3
Indonesia,1964,Other Factors,3
Indonesia,1965,Other Factors,3
Indonesia,1966,Other Factors,3
Indonesia,1967,Other Factors,3
Indonesia,1998,Other Factors,3
Indonesia,1999,Other Factors,3
Iran,1951,Other Factors,3
Iran,1952,Other Factors,3
Iran,1953,Other Factors,3
Iran,1954,Other Factors,3
Iran,1955,Other Factors,3
Iran,1977,Other Factors,3
Iran,1978,Other Factors,3
Iran,1979,Other Factors,3
Iran,1980,Other Factors,3
Iran,1981,Other Factors,3
Iran,1984,Wartime,1
Iran,1985,Wartime,1
Iran,1986,Wartime,1
Iran,1987,Wartime,1
Iran,1988,Wartime,1
Iraq,1980,Wartime,1
Iraq,1981,Wartime,1
Iraq,1982,Wartime,1
Iraq,1983,Wartime,1
Iraq,1984,Wartime,1
Iraq,1985,Wartime,1
Iraq,1986,Wartime,1
Iraq,1988,Wartime,1
Iraq,1989,Wartime,1
Iraq,1990,Wartime,1
Iraq,1991,Wartime,1
Iraq,2003,Other Factors,3
Italy,1919,,.
Italy,1920,,.
Italy,1940,Wartime,1
Italy,1941,Wartime,1
Italy,1942,Wartime,1
Italy,1943,Wartime,1
Italy,1944,Wartime,1
Italy,1945,Wartime,1
Japan,1941,Wartime,1
Japan,1942,Wartime,1
Japan,1943,Wartime,1
Japan,1944,Wartime,1
Japan,1945,Wartime,1
Japan,1946,Wartime,1
Japan,1947,Wartime,1
Jordan,1955,Wartime,1
Jordan,1966,Other Factors,3
Jordan,1967,Other Factors,3
Jordan,1968,Other Factors,3
Jordan,1970,Other Factors,3
Jordan,1971,Other Factors,3
Jordan,1972,Other Factors,3
Jordan,1987,Wartime,1
Jordan,1988,Wartime,1
Jordan,1989,Wartime,1
Jordan,1990,Wartime,1
Jordan,1991,Wartime,1
Kazakhstan,1989,Post-Communist Dissolution,2
Kazakhstan,1990,Post-Communist Dissolution,2
Kazakhstan,1991,Post-Communist Dissolution,2
Kazakhstan,1992,Post-Communist Dissolution,2
Kazakhstan,1993,Post-Communist Dissolution,2
Kazakhstan,1994,Post-Communist Dissolution,2
Kazakhstan,1995,Post-Communist Dissolution,2
Kenya,1928,Other Factors,3
Kenya,1929,Other Factors,3
Kenya,1934,Other Factors,3
Kenya,1937,Other Factors,3
Kenya,1941,Wartime,1
Kenya,1942,Wartime,1
Kenya,1943,Wartime,1
Kenya,1952,Other Factors,3
Kenya,1953,Other Factors,3
Lithuania,1989,Post-Communist Dissolution,2
Lithuania,1990,Post-Communist Dissolution,2
Lithuania,1991,Post-Communist Dissolution,2
Lithuania,1992,Post-Communist Dissolution,2
Lithuania,1993,Post-Communist Dissolution,2
Lithuania,1994,Post-Communist Dissolution,2
Lithuania,2009,Other Factors,3
Malawi,1918,,.
Malawi,1919,,.
Malawi,1920,,.
Malawi,1921,,.
Malawi,1926,,.
Malawi,1980,Other Factors,3
Malawi,1981,Other Factors,3
Malawi,1982,Other Factors,3
Malawi,1986,Other Factors,3
Malawi,1987,Other Factors,3
Malawi,1988,Other Factors,3
Malawi,1989,Other Factors,3
Malawi,1990,Other Factors,3
Malawi,1992,Other Factors,3
Malawi,2000,Other Factors,3
Malawi,2001,Other Factors,3
Malawi,2002,Other Factors,3
Malaysia,1930,Other Factors,3
Malaysia,1931,Other Factors,3
Malaysia,1932,Other Factors,3
Malaysia,1933,Other Factors,3
Malaysia,1934,Other Factors,3
Malaysia,1935,Other Factors,3
Malaysia,1937,Other Factors,3
Malaysia,1940,Wartime,1
Malaysia,1941,Wartime,1
Malaysia,1943,Wartime,1
Malaysia,1944,Wartime,1
Malaysia,1945,Wartime,1
Malaysia,1946,Wartime,1
Malaysia,1947,Wartime,1
Mexico,1910,,.
Mexico,1911,,.
Mexico,1912,,.
Mexico,1913,,.
Mexico,1914,,.
Mexico,1915,,.
Mexico,1927,Other Factors,3
Mexico,1928,Other Factors,3
Mexico,1929,Other Factors,3
Mexico,1930,Other Factors,3
Mexico,1931,Other Factors,3
Mexico,1932,Other Factors,3
Mexico,1982,Other Factors,3
Mexico,1983,Other Factors,3
Mexico,1984,Other Factors,3
Mexico,1985,Other Factors,3
Mexico,1986,Other Factors,3
Mexico,1987,Other Factors,3
Mexico,1988,Other Factors,3
Moldova,1985,Other Factors,3
Moldova,1990,Post-Communist Dissolution,2
Moldova,1991,Post-Communist Dissolution,2
Moldova,1992,Post-Communist Dissolution,2
Moldova,1993,Post-Communist Dissolution,2
Moldova,1994,Post-Communist Dissolution,2
Moldova,1995,Post-Communist Dissolution,2
Moldova,1996,Post-Communist Dissolution,2
Moldova,1997,Post-Communist Dissolution,2
Moldova,1998,Post-Communist Dissolution,2
Moldova,1999,Post-Communist Dissolution,2
Morocco,1956,Other Factors,3
Morocco,1957,Other Factors,3
Morocco,1958,Other Factors,3
Morocco,1959,Other Factors,3
Morocco,1960,Other Factors,3
Netherlands,1914,,.
Netherlands,1915,,.
Netherlands,1916,,.
Netherlands,1917,,.
Netherlands,1918,,.
Netherlands,1930,Other Factors,3
Netherlands,1931,Other Factors,3
Netherlands,1932,Other Factors,3
Netherlands,1933,Other Factors,3
Netherlands,1934,Other Factors,3
Netherlands,1940,Wartime,1
Netherlands,1941,Wartime,1
Netherlands,1942,Wartime,1
Netherlands,1943,Wartime,1
Netherlands,1944,Wartime,1
New Zealand,1912,,.
New Zealand,1913,,.
New Zealand,1914,,.
New Zealand,1915,,.
New Zealand,1916,,.
New Zealand,1917,,.
New Zealand,1918,,.
New Zealand,1921,,.
New Zealand,1922,,.
New Zealand,1926,,.
New Zealand,1927,Other Factors,3
New Zealand,1930,Other Factors,3
New Zealand,1931,Other Factors,3
New Zealand,1932,Other Factors,3
New Zealand,1948,Other Factors,3
New Zealand,1951,Other Factors,3
Nicaragua,1922,,.
Nicaragua,1926,,.
Nicaragua,1930,Other Factors,3
Nicaragua,1931,Other Factors,3
Nicaragua,1932,Other Factors,3
Nicaragua,1934,Other Factors,3
Nicaragua,1935,Other Factors,3
Nicaragua,1936,Other Factors,3
Nicaragua,1978,Wartime,1
Nicaragua,1979,Wartime,1
Nicaragua,1984,Other Factors,3
Nicaragua,1985,Other Factors,3
Nicaragua,1986,Other Factors,3
Nicaragua,1987,Other Factors,3
Nicaragua,1988,Other Factors,3
Nicaragua,1989,Other Factors,3
Nicaragua,1990,Other Factors,3
Nicaragua,1991,Other Factors,3
Nicaragua,1992,Other Factors,3
Nicaragua,1993,Other Factors,3
Nigeria,1910,,.
Nigeria,1921,,.
Nigeria,1922,,.
Nigeria,1923,,.
Nigeria,1927,Other Factors,3
Nigeria,1938,Other Factors,3
Nigeria,1939,Other Factors,3
Nigeria,1940,Other Factors,3
Nigeria,1966,Wartime,1
Nigeria,1967,Wartime,1
Nigeria,1968,Wartime,1
Nigeria,1980,Other Factors,3
Nigeria,1981,Other Factors,3
Nigeria,1982,Other Factors,3
Nigeria,1983,Other Factors,3
Nigeria,1984,Other Factors,3
Norway,1917,,.
Norway,1918,,.
Norway,1921,,.
Norway,1940,Wartime,1
Norway,1941,Wartime,1
Norway,1942,Wartime,1
Norway,1943,Wartime,1
Norway,1944,Wartime,1
Peru,1930,Other Factors,3
Peru,1931,Other Factors,3
Peru,1932,Other Factors,3
Peru,1976,Other Factors,3
Peru,1977,Other Factors,3
Peru,1978,Other Factors,3
Peru,1979,Other Factors,3
Peru,1982,Other Factors,3
Peru,1983,Other Factors,3
Peru,1988,Other Factors,3
Peru,1989,Other Factors,3
Peru,1990,Other Factors,3
Peru,1991,Other Factors,3
Peru,1992,Other Factors,3
Philippines,1914,,.
Philippines,1915,,.
Philippines,1930,Other Factors,3
Philippines,1931,Other Factors,3
Philippines,1932,Other Factors,3
Philippines,1933,Other Factors,3
Philippines,1934,Other Factors,3
Philippines,1935,Other Factors,3
Philippines,1940,Wartime,1
Philippines,1941,Wartime,1
Philippines,1942,Wartime,1
Philippines,1943,Wartime,1
Philippines,1944,Wartime,1
Philippines,1945,Wartime,1
Philippines,1946,Wartime,1
Philippines,1983,Other Factors,3
Philippines,1984,Other Factors,3
Philippines,1985,Other Factors,3
Poland,1930,Other Factors,3
Poland,1931,Other Factors,3
Poland,1932,Other Factors,3
Poland,1933,Other Factors,3
Poland,1979,Other Factors,3
Poland,1980,Other Factors,3
Poland,1981,Other Factors,3
Poland,1982,Other Factors,3
Poland,1987,Other Factors,3
Poland,1988,Other Factors,3
Poland,1989,Other Factors,3
Poland,1990,Other Factors,3
Poland,1991,Other Factors,3
Portugal,1928,Other Factors,3
Portugal,1935,Other Factors,3
Portugal,1936,Other Factors,3
Romania,1904,,.
Romania,1907,,.
Romania,1913,,.
Romania,1914,,.
Romania,1916,,.
Romania,1917,,.
Romania,1918,,.
Romania,1919,,.
Romania,1944,Wartime,1
Romania,1945,Wartime,1
Romania,1946,Wartime,1
Romania,1949,Other Factors,3
Romania,1950,Other Factors,3
Romania,1987,Other Factors,3
Romania,1988,Other Factors,3
Romania,1989,Other Factors,3
Romania,1990,Other Factors,3
Romania,1991,Other Factors,3
Romania,1992,Other Factors,3
Russia,1919,,.
Russia,1920,,.
Russia,1921,,.
Russia,1940,Wartime,1
Russia,1941,Wartime,1
Russia,1942,Wartime,1
Russia,1996,Other Factors,3
Russia,1997,Other Factors,3
Russia,1998,Other Factors,3
Rwanda,1963,Other Factors,3
Rwanda,1964,Other Factors,3
Rwanda,1987,Wartime,1
Rwanda,1988,Wartime,1
Rwanda,1989,Wartime,1
Rwanda,1990,Wartime,1
Rwanda,1991,Wartime,1
Rwanda,1993,Wartime,1
Rwanda,1994,Wartime,1
Rwanda,1996,Wartime,1
Rwanda,1997,Wartime,1
Saudi Arabia,1982,Other Factors,3
Saudi Arabia,1983,Other Factors,3
Saudi Arabia,1984,Other Factors,3
Saudi Arabia,1985,Other Factors,3
Saudi Arabia,1986,Other Factors,3
Serbia,1990,Post-Communist Dissolution,2
Serbia,1991,Post-Communist Dissolution,2
Serbia,1992,Post-Communist Dissolution,2
Serbia,1993,Post-Communist Dissolution,2
Serbia,1999,Wartime,1
Singapore,1916,,.
Singapore,1918,,.
Singapore,1919,,.
Singapore,1920,,.
Singapore,1926,,.
Singapore,1927,Other Factors,3
Singapore,1930,Other Factors,3
Singapore,1931,Other Factors,3
Singapore,1932,Other Factors,3
Singapore,1938,Other Factors,3
Singapore,1951,Other Factors,3
Singapore,1952,Other Factors,3
Singapore,1957,Other Factors,3
South Africa,1913,,.
South Africa,1914,,.
South Africa,1915,,.
South Africa,1916,,.
South Africa,1917,,.
South Africa,1920,,.
South Africa,1929,Other Factors,3
South Africa,1930,Other Factors,3
South Africa,1931,Other Factors,3
South Africa,1932,Other Factors,3
South Africa,1982,Other Factors,3
South Africa,1983,Other Factors,3
South Africa,1984,Other Factors,3
South Africa,1985,Other Factors,3
South Africa,1986,Other Factors,3
South Africa,1987,Other Factors,3
South Africa,1990,Other Factors,3
South Africa,1991,Other Factors,3
South Africa,1992,Other Factors,3
South Africa,1993,Other Factors,3
South Korea,1919,,.
South Korea,1939,Wartime,1
South Korea,1941,Wartime,1
South Korea,1942,Wartime,1
South Korea,1943,Wartime,1
South Korea,1944,Wartime,1
South Korea,1945,Wartime,1
South Korea,1950,Wartime,1
South Korea,1951,Wartime,1
Spain,1930,Other Factors,3
Spain,1931,Other Factors,3
Spain,1932,Other Factors,3
Spain,1933,Other Factors,3
Spain,1936,Other Factors,3
Spain,1937,Other Factors,3
Spain,1938,Other Factors,3
Sri Lanka,1914,,.
Sri Lanka,1915,,.
Sri Lanka,1916,,.
Sri Lanka,1917,,.
Sri Lanka,1918,,.
Sri Lanka,1919,,.
Sri Lanka,1920,,.
Sri Lanka,1921,,.
Sri Lanka,1922,,.
Sri Lanka,1923,,.
Sri Lanka,1930,Other Factors,3
Sri Lanka,1931,Other Factors,3
Sri Lanka,1932,Other Factors,3
Sri Lanka,1943,Wartime,1
Sri Lanka,1944,Wartime,1
Sri Lanka,1945,Wartime,1
Sri Lanka,1946,Wartime,1
Suriname,1982,Other Factors,3
Suriname,1983,Other Factors,3
Suriname,1984,Other Factors,3
Sweden,1917,,.
Sweden,1918,,.
Sweden,1921,,.
Sweden,1940,Wartime,1
Sweden,1941,Wartime,1
Switzerland,1913,,.
Switzerland,1914,,.
Switzerland,1915,,.
Switzerland,1916,,.
Switzerland,1917,,.
Switzerland,1918,,.
Switzerland,1940,Wartime,1
Switzerland,1941,Wartime,1
Switzerland,1942,Wartime,1
Taiwan,1937,Other Factors,3
Taiwan,1938,Other Factors,3
Taiwan,1939,Other Factors,3
Taiwan,1940,Wartime,1
Taiwan,1941,Wartime,1
Taiwan,1942,Wartime,1
Taiwan,1943,Wartime,1
Taiwan,1944,Wartime,1
Taiwan,1945,Wartime,1
Thailand,1997,Other Factors,3
Thailand,1998,Other Factors,3
Turkey,1914,,.
Turkey,1915,,.
Turkey,1916,,.
Turkey,1917,,.
Turkey,1918,,.
Turkey,1919,,.
Turkey,1920,,.
Turkey,1927,Other Factors,3
Turkey,1932,Other Factors,3
Turkey,1940,Wartime,1
Turkey,1941,Wartime,1
Turkey,1942,Wartime,1
Turkey,1943,Wartime,1
Turkey,1944,Wartime,1
Turkey,1945,Wartime,1
Turkey,1999,Other Factors,3
Turkey,2000,Other Factors,3
Turkey,2001,Other Factors,3
Uganda,1908,,.
Uganda,1927,Other Factors,3
Uganda,1928,Other Factors,3
Uganda,1929,Other Factors,3
Uganda,1930,Other Factors,3
Uganda,1934,Other Factors,3
Uganda,1942,Wartime,1
Uganda,1943,Wartime,1
Uganda,1944,Wartime,1
Uganda,1945,Wartime,1
Uganda,1972,Other Factors,3
Uganda,1973,Other Factors,3
Uganda,1974,Other Factors,3
Uganda,1975,Other Factors,3
Uganda,1976,Other Factors,3
Uganda,1977,Other Factors,3
Uganda,1978,Other Factors,3
Uganda,1979,Other Factors,3
Uganda,1980,Other Factors,3
Uganda,1984,Wartime,1
Uganda,1985,Wartime,1
Uganda,1986,Wartime,1
Ukraine,1990,Post-Communist Dissolution,2
Ukraine,1991,Post-Communist Dissolution,2
Ukraine,1992,Post-Communist Dissolution,2
Ukraine,1993,Post-Communist Dissolution,2
Ukraine,1994,Post-Communist Dissolution,2
Ukraine,1995,Post-Communist Dissolution,2
Ukraine,1996,Post-Communist Dissolution,2
Ukraine,1997,Post-Communist Dissolution,2
Ukraine,2009,Other Factors,3
United Arab Emirates,1975,Other Factors,3
United Arab Emirates,1977,Other Factors,3
United Arab Emirates,1978,Other Factors,3
United Arab Emirates,1982,Other Factors,3
United Arab Emirates,1983,Other Factors,3
United Arab Emirates,1984,Other Factors,3
United Arab Emirates,1985,Other Factors,3
United Arab Emirates,1986,Other Factors,3
United Arab Emirates,1987,Other Factors,3
United Arab Emirates,1988,Other Factors,3
United Arab Emirates,2007,Other Factors,3
United Arab Emirates,2008,Other Factors,3
United Arab Emirates,2009,Other Factors,3
United Kingdom,1919,,.
United Kingdom,1920,,.
United Kingdom,1921,,.
United Kingdom,1944,Wartime,1
United Kingdom,1945,Wartime,1
